,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
104,00105,8.76,0.15,K239D,237.59531,57.10322,188.22039,21.45593,0.1789071,0.26976442,2.3721725,2.37324,5e-06,0.205873,0.00034,0.370462,0.0001,19.79574,-37.649484,8.76,62
105,00106,7.84,0.15,K239D,141.27204,331.5813,61.98758,4.57582,0.1593383,0.17365754,3.1818054,3.171157,0.00052,0.144718,0.00014,0.062371,5.4e-05,162.512531,-104.842647,7.84,78
106,00107,7.13,0.15,K239D,209.89943,305.22068,172.58522,10.00467,0.0653167,0.1514214,3.4861378,3.485956,2.6e-06,0.092832,3.2e-05,0.169053,1e-05,138.651111,-139.742432,7.13,75
107,00108,8.01,0.15,K239D,237.92289,212.58718,349.75607,4.20945,0.0624851,0.16951541,3.2334285,3.220953,2.8e-06,0.106454,3.3e-06,0.083363,1.2e-06,316.153755,-98.975766,8.01,80
108,00109,9.01,0.15,K239D,248.3353,57.61358,2.75378,7.84552,0.3002041,0.22296688,2.6934514,2.696171,5.8e-05,0.264145,0.00033,0.148981,7.3e-05,54.163238,-72.539269,9.01,62
109,00110,7.91,0.15,K239D,197.0112,282.23632,56.77086,5.95987,0.0797305,0.21814725,2.7329785,2.732863,1.2e-07,0.045066,0.0015,0.089019,0.00073,58.119053,-56.297173,7.91,71
110,00111,8.26,0.15,K239D,82.08262,168.25275,305.67837,4.931,0.1029442,0.23593526,2.5938259,2.59414,5.5e-06,0.123837,0.001,0.101342,0.00023,50.908528,-51.99428,8.26,64
111,00112,9.82,0.15,K239D,124.71423,16.93476,323.36558,2.59768,0.128481,0.25973807,2.4328331,2.433947,3.6e-07,0.094024,2.9e-05,0.055656,6.3e-05,40.744176,-43.054724,9.82,57
112,00113,8.6,0.15,K239D,205.59351,79.60929,123.36243,5.04011,0.0855583,0.26879757,2.3778575,2.376013,6.7e-08,0.121224,0.00026,0.078046,0.00021,38.452226,-41.333642,8.6,85
113,00114,8.51,0.15,K239D,61.6096,352.62024,164.06499,4.94448,0.1383532,0.22507061,2.6766414,2.676629,1.8e-06,0.177528,0.00021,0.079952,3.8e-06,55.918037,-61.66811,8.51,66
